 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor médio AIH por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";335,23;401,49;357,04;355,97;364,88;363,25;405,46;424,36;415,24;432,30;403,46;443,51;447,95;381,30;470,32;457,66;446,04;461,44;473,36;442,48;459,71;471,12;463,67;459,71;430,37;432,60;474,56;491,62;517,09;556,05;577,56;536,03;577,47;533,16;545,52;527,37;550,47;488,96;514,08;581,12;557,62;560,36;557,09;616,92;599,09;511,79;553,43;480,40;502,10;575,66;601,58;539,88;526,41;594,08;569,55;524,96;537,90;516,93;490,66;498,32;541,86;555,62;554,21;605,55;637,34;567,89;642,36;641,94;658,54;643,38;680,67;683,04;627,54;679,55;706,71;667,38;665,85;741,10;692,38;724,05;688,00;627,77;640,57;714,76;758,77;743,33;784,43;772,61;787,21;780,49;857,98;720,32;811,21;756,49;701,27;783,80;863,69;843,81;761,64;792,04;803,59;787,55;844,53;870,78;882,58;850,71;813,67;808,11;863,05;798,07;825,09;863,22;826,52;836,22;881,81;815,58;883,78;871,30;842,56;767,44;846,74;895,64;859,70;862,14;806,83;818,58;855,54;884,25;776,17;847,74;876,84;890,36;963,30;846,20;904,11;880,39;851,58;760,22;919,82;898,92;860,68;1001,15;940,91;832,56;829,62;805,80;853,03;958,27;1027,87;1349,99;1415,62;1384,79;1145,39;974,30;1033,11;1092,35;1148,92;1196,13;1714,09;718,32
"12 Acre";432,40;487,53;474,23;463,06;504,14;454,17;514,70;491,55;499,94;466,06;458,03;541,58;563,68;531,50;510,01;578,79;585,77;566,96;574,03;526,96;...;602,79;548,32;587,36;564,61;533,28;568,64;560,69;631,32;563,89;546,17;622,20;586,95;578,28;568,38;620,54;647,57;620,80;569,54;608,65;635,32;591,96;706,67;689,42;671,65;645,38;647,08;664,84;628,01;610,47;644,16;657,62;634,65;641,18;621,34;660,18;606,59;660,64;672,13;655,93;622,17;666,54;646,92;639,16;645,47;592,37;676,92;700,30;654,72;639,54;677,01;637,92;651,79;626,25;666,89;706,36;657,62;656,07;699,91;720,05;687,19;694,83;713,66;705,51;795,29;760,88;692,63;788,17;766,88;790,62;727,16;782,04;751,38;713,05;767,58;742,73;866,25;794,26;759,27;848,13;776,40;892,47;889,85;846,62;879,95;761,95;820,22;878,80;803,27;884,63;862,15;814,62;910,23;799,17;795,38;809,69;701,97;982,28;928,19;748,62;776,17;751,25;778,94;720,64;681,71;814,55;789,90;749,72;706,31;756,78;884,76;819,54;811,41;656,94;815,07;794,08;776,55;773,83;738,30;794,69;784,97;734,38;831,92;825,16;880,50;835,83;815,70;771,99;930,70;954,32;1122,48;964,02;969,48;952,50;907,14;999,73;944,76;1012,72;1017,48;704,72
"13 Amazonas";507,83;555,87;552,82;565,48;608,03;600,37;605,38;595,40;619,74;587,96;527,10;628,85;668,15;652,93;683,54;678,42;702,60;687,55;670,82;715,55;696,89;695,13;652,85;727,82;694,75;676,34;694,08;696,30;688,60;765,27;738,38;712,57;701,98;683,68;731,31;693,16;689,91;677,66;678,83;725,18;746,32;716,24;784,67;702,72;753,30;749,60;709,21;749,78;799,79;826,58;734,92;724,99;761,26;736,33;782,97;756,24;763,14;754,93;710,53;729,07;748,45;730,72;734,09;785,43;742,95;766,75;739,76;818,32;803,60;821,11;789,74;768,85;775,54;717,07;785,40;765,42;844,83;828,55;813,98;797,31;835,57;798,01;799,94;811,30;880,07;916,89;879,72;921,24;859,76;885,92;920,18;861,37;901,91;915,27;918,32;887,29;809,39;837,38;887,55;887,96;925,60;876,28;898,97;948,86;933,36;871,43;870,69;909,04;935,69;859,23;930,43;852,89;947,11;862,71;933,09;950,35;908,37;965,72;949,47;918,58;900,38;910,76;947,24;948,03;931,69;940,98;939,16;921,48;1001,01;1016,37;1012,84;936,32;962,59;936,46;972,79;973,27;966,70;977,39;936,57;980,43;973,56;944,03;974,00;941,42;978,82;965,18;928,81;1033,73;1375,90;1411,26;1313,24;1267,90;1166,84;1063,47;1318,90;1279,45;1476,22;1501,14;1389,60;851,52
"14 Roraima";446,03;429,33;396,41;427,70;423,34;410,07;432,03;415,36;475,91;467,36;437,18;557,25;495,74;491,90;611,87;544,33;522,07;580,00;564,62;611,44;558,09;552,52;553,55;755,80;630,41;657,18;681,92;667,31;603,39;619,76;635,68;608,49;667,33;700,73;667,28;659,46;659,99;612,47;593,62;594,55;578,05;626,51;609,92;650,78;707,05;631,67;624,13;628,65;635,63;683,67;668,62;648,07;656,85;642,99;617,27;701,12;669,44;694,16;662,99;691,71;696,77;670,20;660,03;673,01;595,52;630,67;617,42;604,40;588,94;659,55;593,26;688,96;638,03;589,96;626,84;668,88;655,82;632,06;647,06;703,32;696,17;673,54;637,25;673,09;646,07;765,43;693,26;692,18;687,45;612,66;632,92;756,80;738,56;683,00;751,07;799,26;643,38;727,15;674,83;790,90;692,04;734,98;814,52;728,90;717,74;738,56;651,92;745,32;734,71;778,93;719,30;688,84;647,40;703,86;687,08;736,20;787,29;687,35;718,98;750,15;784,02;763,05;768,27;778,82;745,97;825,11;781,37;732,84;774,73;765,20;749,97;818,37;772,11;838,51;669,95;763,70;822,78;794,01;725,61;776,10;736,88;726,20;785,76;822,17;831,70;771,53;821,41;915,97;943,84;1195,31;1040,18;866,22;955,94;887,77;1054,16;988,12;1034,82;1065,31;1215,84;705,76
"15 Pará";488,37;470,76;512,17;506,46;520,31;533,68;531,61;534,11;568,27;547,84;528,12;602,92;602,41;587,60;600,74;607,37;608,56;596,43;595,72;596,72;607,08;619,17;596,87;604,64;592,57;603,78;601,43;591,83;594,56;607,35;612,81;614,55;608,06;618,50;624,09;608,94;622,18;615,30;612,03;637,79;625,06;648,06;605,79;632,08;643,94;645,77;619,82;625,90;638,79;631,51;635,23;634,89;626,48;629,52;647,81;626,35;647,33;670,21;674,40;696,69;647,87;653,87;647,27;660,27;673,54;707,93;700,67;681,83;693,51;685,14;705,41;736,97;686,96;690,23;687,18;677,95;688,57;722,32;697,98;677,92;687,34;737,14;696,83;732,18;730,65;741,91;734,49;742,75;739,93;726,11;765,83;776,02;762,34;742,82;795,96;745,47;739,17;726,80;739,85;761,34;757,54;804,56;772,52;742,49;787,10;808,60;799,18;810,87;812,02;782,57;818,00;811,65;769,66;797,09;834,63;805,42;823,03;802,93;817,36;840,34;800,04;798,32;811,53;836,61;818,26;858,83;822,04;850,99;820,68;846,13;833,45;865,57;884,55;834,75;818,19;861,01;845,87;848,97;779,39;809,32;831,66;860,61;897,32;887,58;869,39;914,27;901,44;919,72;1103,31;1314,33;1223,88;1146,35;1020,74;997,54;1022,47;1029,08;1049,75;1104,39;1200,40;725,94
"16 Amapá";469,81;478,77;430,88;505,15;557,14;551,89;522,01;525,48;523,57;533,05;509,15;596,77;558,09;503,35;532,82;561,31;614,43;589,38;540,50;551,13;628,85;574,55;560,52;567,58;594,39;535,08;533,11;568,01;580,31;543,65;571,95;569,36;550,73;557,00;593,50;599,03;634,45;580,77;678,23;601,77;565,25;585,50;563,51;534,98;632,63;577,88;582,20;617,49;566,92;595,95;605,43;573,03;595,72;598,62;637,42;611,30;613,20;608,04;623,40;619,25;565,96;592,62;603,16;627,60;622,14;720,95;680,52;616,05;622,63;620,93;641,57;652,53;607,23;628,89;623,39;632,22;659,77;664,92;665,79;654,85;606,00;618,56;644,51;599,81;590,31;619,80;606,95;610,25;650,02;645,42;626,24;653,57;662,74;647,63;663,98;652,49;657,77;628,07;664,50;657,61;696,56;686,99;710,12;705,49;664,27;653,11;650,80;669,55;687,03;672,41;601,65;645,41;629,03;717,07;681,18;677,67;633,03;700,17;657,58;688,67;693,93;687,83;623,78;654,07;727,46;655,87;659,64;699,82;718,19;672,57;622,21;739,15;700,50;662,47;724,06;792,05;747,64;664,50;697,02;819,29;643,54;737,52;692,60;732,60;748,26;719,02;761,35;845,75;975,00;855,28;1080,86;959,11;820,38;931,02;925,16;871,92;975,94;850,54;948,87;647,34
"17 Tocantins";516,37;642,24;644,81;587,79;628,54;594,51;616,16;641,51;639,47;569,49;630,62;719,20;737,13;680,36;720,07;797,97;745,88;724,50;761,39;768,56;784,05;757,62;737,08;778,37;744,55;751,29;757,19;765,90;745,83;768,53;757,37;786,69;744,36;780,03;746,78;804,82;760,71;759,84;804,36;761,36;770,33;773,18;802,60;757,08;788,83;754,29;719,05;740,00;775,89;752,77;822,05;764,22;782,37;830,43;841,38;844,76;838,69;813,89;805,77;845,49;814,93;946,04;837,40;815,14;853,76;889,69;830,41;805,83;816,42;856,38;807,46;841,93;845,78;874,14;826,75;829,91;846,03;867,01;866,28;869,01;861,95;873,72;896,43;870,76;961,72;954,13;901,45;895,97;883,69;986,09;941,64;908,12;908,55;971,15;1002,99;1048,21;932,55;1035,66;1049,32;997,16;993,90;925,52;967,66;1042,12;1029,34;929,25;1023,03;986,22;1016,18;1008,38;969,34;899,02;971,89;957,14;990,34;970,38;900,48;919,32;923,48;896,22;893,80;970,27;933,40;893,80;796,83;905,68;921,48;925,07;956,29;984,20;928,50;1021,52;1016,34;962,28;1073,47;1039,89;1043,04;995,22;1007,38;1017,47;1018,72;983,68;1003,90;1010,47;1076,59;1023,84;1046,49;1023,08;1059,71;1224,99;1359,60;1330,73;1429,21;1255,19;1162,64;1510,69;1133,93;790,00;1606,81;860,44
"21 Maranhão";500,70;525,47;520,86;514,72;510,24;508,53;527,75;515,13;522,95;529,44;512,19;578,94;567,05;595,88;579,36;584,79;569,53;569,30;578,30;599,92;600,36;583,74;594,98;607,15;583,54;570,84;579,93;591,15;590,35;598,68;596,10;605,47;576,38;593,91;595,89;580,47;590,59;599,96;590,25;601,66;614,71;598,61;596,32;611,64;618,17;613,73;605,41;599,40;588,76;629,10;628,91;652,64;646,75;663,05;674,91;651,03;656,75;678,39;681,84;684,36;672,04;666,48;672,07;671,89;729,75;691,46;701,02;698,67;704,83;705,74;700,69;721,78;718,39;701,64;712,72;702,39;678,77;747,41;707,46;727,63;725,22;735,15;731,82;726,57;695,30;730,29;695,03;704,34;731,52;724,10;737,68;734,64;750,95;728,76;741,24;746,40;748,52;715,09;723,56;730,92;731,28;755,00;784,42;741,10;742,06;770,56;801,46;752,65;829,99;730,84;747,88;754,28;752,58;740,18;749,72;780,60;756,85;786,15;736,03;759,06;718,06;722,70;756,34;757,01;719,36;742,81;741,83;756,64;762,90;746,28;741,81;785,04;782,58;754,93;768,44;758,86;768,08;779,70;787,14;814,83;793,45;810,47;813,33;810,01;791,48;815,22;822,83;880,79;1048,69;1192,70;1131,60;1004,08;934,07;968,74;963,11;993,69;975,25;1035,86;1364,18;710,78
"22 Piauí";502,91;527,74;556,58;567,10;532,51;545,36;544,98;549,18;553,68;575,44;543,41;606,25;591,90;591,02;605,10;630,28;626,90;621,09;626,82;599,10;613,89;596,07;611,76;662,64;632,09;619,14;619,14;641,95;625,79;614,44;622,30;629,66;623,74;615,75;653,31;615,10;617,85;606,04;643,28;666,13;657,05;657,10;660,70;656,84;640,56;652,81;658,02;686,62;664,40;666,23;689,21;660,87;678,13;681,82;714,72;693,33;701,28;712,80;740,83;658,86;766,29;694,22;724,98;744,87;742,64;746,56;802,75;745,01;754,54;746,01;780,03;737,88;734,07;753,62;749,42;780,73;775,59;773,41;770,66;836,85;826,12;789,55;810,99;809,31;803,48;846,58;841,83;798,47;798,32;821,11;829,15;847,80;812,60;852,69;807,98;849,73;863,26;808,48;844,78;862,47;848,48;854,60;884,51;876,94;843,27;881,79;881,28;903,23;860,75;889,05;883,71;857,26;861,63;906,29;872,96;893,03;879,91;907,78;887,14;897,09;882,23;901,79;884,88;892,61;890,59;875,25;893,59;912,77;892,80;902,65;906,50;933,74;896,10;907,64;903,45;950,58;949,58;926,87;942,69;958,96;940,33;949,19;951,04;958,33;905,06;955,13;910,97;982,91;1006,35;1120,22;1378,04;1700,47;1377,56;1394,18;1234,28;1340,69;1284,06;1310,39;1387,85;789,00
"23 Ceará";521,07;640,40;668,17;681,93;686,52;707,54;710,21;658,91;706,67;688,32;687,14;864,23;786,00;823,85;811,87;785,02;816,85;801,58;795,92;802,56;812,51;806,07;810,35;808,93;800,78;825,61;834,17;827,67;816,37;827,05;804,34;850,11;845,49;804,56;845,02;854,98;838,92;827,24;834,76;840,06;828,64;850,32;848,20;868,51;877,69;905,26;886,77;900,70;889,10;939,08;923,40;913,97;910,84;933,08;955,35;970,61;983,39;977,57;946,97;979,99;986,18;990,65;976,90;1006,97;981,54;964,93;1037,67;1023,66;1066,86;1021,17;1064,32;1051,50;1100,98;1046,64;1030,96;1021,05;1053,39;1032,16;1094,06;1050,82;1065,50;1040,00;1011,99;1073,13;1075,50;1063,81;1066,65;1061,56;1040,51;1103,13;1096,91;1093,20;1089,06;1086,80;1174,11;1101,82;1102,47;1129,67;1060,93;1088,38;1089,02;1152,78;1144,22;1189,57;1180,17;1159,34;1142,26;1169,91;1119,12;1155,75;1160,84;1107,61;1144,36;1162,76;1145,54;1168,20;1188,64;1200,73;1194,12;1193,69;1173,24;1176,45;1123,39;1105,03;1120,94;1113,95;1136,22;1150,89;1130,71;1122,61;1158,05;1140,16;1108,48;1125,49;1097,56;1110,77;1143,81;1151,79;1180,73;1160,42;1143,74;1147,51;1181,55;1180,33;1160,08;1237,47;1140,24;1282,81;1355,56;1503,90;1470,91;1693,22;1555,57;1521,40;1472,50;1405,57;1406,23;1453,60;1753,41;1026,18
